n,Time [s]
1000,0.04198543168604374
2000,0.05382900917902589
3000,0.7521102549508214
4000,0.2264143549837172
5000,0.32082642801105976
6000,0.5199860511347651
7000,0.8471619389019907
8000,1.2894594259560108
9000,1.2395550687797368
10000,1.9410046460106969
11000,1.9933838718570769
12000,3.293431205675006
13000,3.022009538952261
14000,4.571225626859814
15000,4.5634640557691455
16000,6.768957833759487
17000,6.623359031043947
18000,8.671422532759607
19000,8.979138298891485
20000,11.358272109180689
